headline,link,image,summary,"""retrieval_date",website,maincountry
"FG empowers MSMEs, manufacturing sectors with N200b to create more jobs",https://guardian.ng/news/fg-empowers-msmes-manufacturing-sectors-with-n200b-to-create-more-jobs/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Federal Government has availed Micro, Small and Medium Enterprises (MSMEs) and the manufacturing sectors of N200 billion to create more job opportunities in the country.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
FG to fund student loan scheme from education tax,https://guardian.ng/news/fg-to-fund-student-loan-scheme-from-education-tax/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Federal Government, yesterday, revealed that the Student Loan Scheme it recently initiated would be funded from education","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Mixed reactions trail demolition at Enugu Centenary City,https://guardian.ng/news/mixed-reactions-trail-demolition-at-enugu-centenary-city-2/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Mixed reactions have trailed last weekend’s demolition of buildings at the Centenary City, Obeagu, Awkunanaw, in Enugu South Local Council.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Makinde presents report on explosion to President,https://guardian.ng/news/makinde-presents-report-on-explosion-to-president-2/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Oyo State Governor, Seyi Makinde, has presented the report of last Tuesday's explosion in Ibadan to President Bola Tinubu. According to a statement by Special Adviser to the Governor on Media, Sulaimon Olanrewaju","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Woman nabbed for attempting to dump five-month-old baby in river,https://guardian.ng/news/woman-nabbed-for-attempting-to-dump-five-month-old-baby-in-river/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The police in Ogun State have arrested a 30-year-old woman, Oluwabunmi Ajayi, who was seen dropping her five-month-old baby, Imole Anifowose, into a river in Sagamu.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Court nullifies passage of Rivers’ State 2024 budget,https://guardian.ng/news/court-nullifies-passage-of-rivers-state-2024-budget/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The presentation and passage of the Rivers State 2024 Budget by four-member Ehie Edison-led House of Assembly was, yesterday, described as an aberration. It was, therefore, voided and set aside by a Federal High Court, Abuja, on ground of illegality and unconstitutionality.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Akeredolu to be buried February 23: Family,https://guardian.ng/news/akeredolu-to-be-buried-february-23-family/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The family of former Governor of Ondo State, the late Rotimi Akeredolu, has slated Feb. 23 for his burial.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Varsities, hospitals in darkness as FG’s $105m power project flops",https://guardian.ng/news/varsities-hospitals-in-darkness-as-fgs-105m-power-project-flops/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Six years after the $105 million-worth of special intervention to electrify public varsities and some tertiary hospitals nationwide, several beneficiaries listed in the phase one of the initiative are yet to get the power supply.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Zoning agitations get louder ahead of Edo primaries,https://guardian.ng/politics/zoning-agitations-get-louder-ahead-of-edo-primaries/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"As political parties in Edo State prepare for primaries amid rash of candidates jostling for patronage, the consideration for competence is gaining grounds, but so too is the sectional advocacy for ‘justice, fairness and equity’ in selecting party flag bearers,  MICHAEL EGBEJULE  reports.   With less than five weeks for political parties in Edo State to…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Northern senators fault ‘lopsided’ 2024 budget, relocation of CBN, FAAN offices",https://guardian.ng/news/northern-senators-fault-lopsided-2024-budget-relocation-of-cbn-faan-offices/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,Northern senators have rejected the planned relocation of some federal agencies from Abuja to Lagos just as they alleged lopsidedness in the distribution and allocation of resources in the N28.7 trillion 2024 budget against the North.,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Court sentences man to life imprisonment for sexual assault on his three children,https://guardian.ng/news/court-sentences-man-to-life-imprisonment-for-sexual-assault-on-his-three-children/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"A Lagos High Court has sentenced Samuel Ademola Oladimeji to life imprisonment for the sexual assault by penetration on his three children. The ruling was delivered by Justice Abiola Sholadoye of the Special Offences Court sitting in Ikeja. Justice Sholadoye, while delivering the verdict, stated that the testimonies of the prosecution witnesses were unshaken and…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Betta Edu was a victim of circumstances, says Arewa women",https://guardian.ng/news/betta-edu-was-a-victim-of-circumstances-says-arewa-women/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Women under the aegis of Arewa Women Leaders Forum ( AWLF) have called on President Bola Ahmed Tinubu to lift the suspension slammed on the Minister of Humanitarian Affairs and Poverty Alleviation, Dr. Betta Edu. In a communique issued at the end of one-day northern women retreat in Abuja yesterday, the women argued that the…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Learn perseverance, don't make money your god, Tinubu tells Nigerians",https://guardian.ng/news/learn-perseverance-dont-make-money-your-god-tinubu-tells-nigerians/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"President Bola Ahmed Tinubu has called on the Christian Association of Nigeria (CAN) to admonish Nigerians not to make money their god or master in a bid to make the nation better. According to Tinubu's Special Adviser on Information and Strategy, Bayo Onanuga, the President said this in a meeting with CAN leaders at the…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Mutfwang imposes 24-hour curfew on Plateau council over escalating violence,https://guardian.ng/news/mutfwang-imposes-24-hour-curfew-on-plateau-council-over-escalating-violence/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Governor Caleb Mutfwang has imposed a 24-hour curfew on the Mangu Local Government Area (LGA) of Plateau State with immediate effect. The announcement, made on Tuesday in a statement by the governor's spokesperson, Gyang Bere, comes amidst reports of escalating violence and unrest in the area. https://x.com/MFaarees_/status/1749745128195994094?s=20 Bere stated that Governor Mutfwang's decision to impose…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Wike seeks stringent laws to check crimes in FCT,https://guardian.ng/news/wike-seeks-stringent-laws-to-check-crimes-in-fct/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Minister of the Federal Capital Territory (FCT), Mr Nyesom Wike, has called for stringent laws to check crimes in the territory.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
FRSC partners tricycle owners to reduce road accident,https://guardian.ng/news/frsc-partners-tricycle-owners-to-reduce-road-accident/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Federal Road Safety Corps (FRSC), Kwara Command, says it is partnering with tricycle owners in the state towards reducing road traffic crash fatalities and injuries.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Coalition calls for referendum to determine resumption of oil extraction in Ogoni land,https://guardian.ng/news/coalition-calls-for-referendum-to-determine-resumption-of-oil-extraction-in-ogoni-land/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"United States-based Ogoni advocacy groups, Centre for Democracy, Human Rights, and Anti-Corruption (CDHRAC) and the National Union of Ogoni Students (NUOS) International USA, have called for a referendum among Ogoni people, home and abroad, to determine whether oil production can resume in Ogoniland or not after addressing the demands that led to the stoppage of…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"EFCC raids ""Yahoo Academy"" in Uyo, arrests 24 trainees",https://guardian.ng/news/efcc-raids-yahoo-academy-in-uyo-arrests-24-trainees/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Economic and Financial Crimes Commission (EFCC) has arrested 24 suspected internet fraudsters undergoing training in a hidden academy in Uyo, the capital of Akwa Ibom State. The raid, conducted on Monday, January 22, 2024, targeted a storey building in the D-Line Ewet Housing Estate believed to be a hideout for training aspiring ""Yahoo boys,""…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
IGP Egbetokun inaugurates Special Intervention Squad to enhance security,https://guardian.ng/news/igp-egbetokun-inaugurates-special-intervention-squad-to-enhance-security/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Inspector General of Police, IGP Kayode Egbetokun, on Monday presented the newly-inaugurated Special Intervention Squad (SIS) to enhance security across Nigeria. IGP Egbetokun while presenting the SIS said that public safety is a collaborative endeavour and the enforcement of law and security of lives and property to place order in any society is no…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"China: Landslide kills at least 2, dozens missing",https://tv.guardian.ng/?p=462027,https://tv.guardian.ng/wp-content/uploads/2024/01/Landslide-kills-at-least-2-dozens-missing-556x312.jpg,At least two people have been killed after a pre-dawn landslide buried homes in the southwest province of Yunnan. A rescue operation is ongoing.,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Argentina seizes, expels family of fugitive drug lord 'Fito'",https://tv.guardian.ng/?p=461969,https://tv.guardian.ng/wp-content/uploads/2024/01/Argentina-seizes-expels-family-of-fugitive-drug-lord-Fito-556x312.jpg,"Argentina's authorities believe that Fito's plan was to buy a house there, move the family and then escape from Ecuador’s prison. This comes amid a manhunt for the drug lord, who broke out of jail on January 7.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Lawyer seeks UK intervention, says Nnamdi Kanu won’t get fair trial in Nigeria",https://tv.guardian.ng/?p=462028,https://tv.guardian.ng/wp-content/uploads/2024/01/Kanu-556x312.jpg,Find these stories and much more when you grab a copy of The Guardian on Tuesday.,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Nigeria Vs Guinea-Bissau match preview,https://tv.guardian.ng/?p=462008,https://tv.guardian.ng/wp-content/uploads/2024/01/nigeria-vs-guinea-bissau-thumbnail-556x312.jpg,Ayomide Shotubo and Hogan Niyi preview the Nigeria Vs Guinea-Bissau match. The game will be the last of the group stage at AFCON 2023 for the Eagles and Guinea-Bissau.,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Nigerian striker Dennis linked with return to Watford,https://guardian.ng/sport/nigerian-striker-dennis-linked-with-return-to-watford/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Nigeria forward Emmanuel Dennis is being linked with a return to Championship club Watford. Dennis is currently on loan at Turkish club Istanbul Basaksehir from Nottingham Forest. In eight league appearances for Istanbul Basaksehir this season, Dennis is yet to score or even provide any assist. In just one season at Watford (2021/22) the 26-year-old…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
AFCON 2023: 5 things learnt in Super Eagles victory against Guinea-Bissau,https://guardian.ng/sport/afcon-2023-5-things-learnt-in-super-eagles-victory-against-guinea-bissau/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"After a not too impressive start to the 2023 Africa Cup of Nations, the Super Eagles have qualified for the round of 16.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Wins for Nigeria, Equatorial Guinea leave host on the brink",https://guardian.ng/sport/wins-for-nigeria-equatorial-guinea-leave-host-on-the-brink/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Super Eagles yesterday defeated Guinea Bissau 1-0 to cement their place in the second round of the ongoing Africa Cup of Nations, but the shock of the day happened at the Allassane Quattara Stadium","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
