headline,link,image,summary,retrieval_date,website,maincountry
Sam Omatseye,https://thenationonlineng.net/columnists/monday/sam-omatseye/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141401/Sam-Omatseye-1-150x150.jpg,Sam Omatseye,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Olatunji Dare,https://thenationonlineng.net/columnists/tuesday/olatunji-dare/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141358/dare-olatunji-150x150.jpeg,Olatunji Dare,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Gabriel Amalu,https://thenationonlineng.net/columnists/tuesday/gabriel-amalu/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11114937/Gabriel-Amalu-1-150x150.png,Gabriel Amalu,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Femi Orebe,https://thenationonlineng.net/columnists/sunday/femi-orebe/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/01/15005041/femi-orebe-150x150.png,Femi Orebe,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Olukorede Yishau,https://thenationonlineng.net/columnists/korede-yishau/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/02/17031442/Korede-Yishau-150x150.png,Olukorede Yishau,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Olakunle Abimbola,https://thenationonlineng.net/columnists/tuesday/olakunle-abimbola/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11111756/olakunle-abimbola-1-150x150.png,Olakunle Abimbola,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Femi Macaulay,https://thenationonlineng.net/columnists/monday/femi-macaulay/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11111739/femi-macaulay-150x150.png,Femi Macaulay,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Sanya Oni,https://thenationonlineng.net/columnists/tuesday/sanya-oni/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11112228/sanya-oni-150x150.png,Sanya Oni,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Dr John Ekundayo,https://thenationonlineng.net/columnists/sunday/dr-john-ekundayo/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/01/22084409/John-Ekundayo-Ph.D-150x150.jpg,Dr John Ekundayo,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Tatalo Alamu,https://thenationonlineng.net/columnists/sunday/tatalo-alamu/,https://placehold.co/100x100,Tatalo Alamu,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Emmanuel Oladesu,https://thenationonlineng.net/columnists/saturday/emmanuel-oladesu/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141355/EmmanuelOladesu-150x150.jpg,Emmanuel Oladesu,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Segun Gbadegesin,https://thenationonlineng.net/columnists/friday/segun-gbadegesin/,https://placehold.co/100x100,Segun Gbadegesin,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Ade Ojeikere,https://thenationonlineng.net/columnists/saturday/ade-ojeikere/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/01/27055617/Ade-oJEIKERE-1-150x150.png,Ade Ojeikere,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Segun Ayobolu,https://thenationonlineng.net/columnists/saturday/segun-ayobolu/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/14172617/Segun-Ayobolu-150x150.jpg,Segun Ayobolu,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Dayo Sobowale,https://thenationonlineng.net/columnists/saturday/dayo-sobowale/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141351/DayoSobowale-150x150.jpg,Dayo Sobowale,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Olatunji Ololade,https://thenationonlineng.net/columnists/thursday/olatunji-ololade/,https://cdn.thenationonlineng.net/wp-content/uploads/2022/02/13010430/Olatunji-Ololade-150x150.jpg,Olatunji Ololade,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Sentry,https://thenationonlineng.net/columnists/saturday/sentry/,https://placehold.co/100x100,Sentry,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Jide Osuntokun,https://thenationonlineng.net/columnists/thursday/jide-osuntokun/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11122323/jide-osuntokun-150x150.png,Jide Osuntokun,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Palladium,https://thenationonlineng.net/author/idowu-akinlotan/,https://placehold.co/100x100,Palladium,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Tunji Adegboyega,https://thenationonlineng.net/columnists/sunday/tunji-adegboyega/,https://placehold.co/100x100,Tunji Adegboyega,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Jide Oluwajuyitan,https://thenationonlineng.net/columnists/thursday/jide-oluwajuyitan/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11122525/jide-oluwajuyitan-1-150x150.png,Jide Oluwajuyitan,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Lawal Ogienagbon,https://thenationonlineng.net/columnists/thursday/lawal-ogienagbon/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/11110640/Lawa-Ogienagbon-1-150x150.png,Lawal Ogienagbon,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Lekan Otufodunrin,https://thenationonlineng.net/columnists/sunday/lekan-otufodunrin/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/14172248/Lekan-Otufodunrin-1-150x150.jpg,Lekan Otufodunrin,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Niyi Osundare,https://thenationonlineng.net/columnists/sunday/niyi-osundare/,https://cdn.thenationonlineng.net/wp-content/uploads/2022/10/09074050/Niyi-Osundare-150x150.png,Niyi Osundare,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Barometer,https://thenationonlineng.net/columnists/sunday/barometer/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141348/Barometer-1-150x150.jpg,Barometer,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Niyi Akinnaso,https://thenationonlineng.net/columnists/wednesday/niyi-akinnaso/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/14172447/Niyi-Akinnaso-1-150x150.jpg,Niyi Akinnaso,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Festus Eriye,https://thenationonlineng.net/columnists/wednesday/festus-eriye/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/14172133/Festus-Eriye-150x150.jpeg,Festus Eriye,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Nnedinso Ogaziechi,https://thenationonlineng.net/author/nnedinso-ogaziech/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141344/Nnedinso-Ogaziechi-150x150.jpeg,Nnedinso Ogaziechi,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Emeka Omeihe,https://thenationonlineng.net/columnists/monday/emeka-omeihe/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/06141340/Emeka-Omeihe-150x150.png,Emeka Omeihe,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Baba Yusuf,https://thenationonlineng.net/columnists/friday/baba-yusuf/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/07/14173310/BABA-YUSUF-1-150x150.jpg,Baba Yusuf,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
Bolaji Ogundele,https://thenationonlineng.net/columnists/sunday/bolaji-ogundele/,https://cdn.thenationonlineng.net/wp-content/uploads/2023/09/10121324/Bolaji-Ogundele-150x150.jpg,Bolaji Ogundele,"Tuesday, 23. January 2024 04:26AM",https://thenationonlineng.net/,nigeria
